fandoms,category,work_count_with_category,work_count,share_of_works
Bleach,F/F,3,19,0.15789473684210525
Bleach,F/M,2,19,0.10526315789473684
Bleach,Gen,4,19,0.21052631578947367
Bleach,M/M,10,19,0.5263157894736842
Bleach,Multi,3,19,0.15789473684210525
Chainsaw Man (Manga) | Chainsaw Man (Anime),F/F,1,30,0.03333333333333333
Chainsaw Man (Manga) | Chainsaw Man (Anime),F/M,4,30,0.13333333333333333
Chainsaw Man (Manga) | Chainsaw Man (Anime),M/M,13,30,0.43333333333333335
Chainsaw Man (Manga) | Chainsaw Man (Anime),Multi,1,30,0.03333333333333333
Chainsaw Man (Manga) | Chainsaw Man (Anime),Other,1,30,0.03333333333333333
Haikyuu!!,F/F,1,60,0.016666666666666666
Haikyuu!!,F/M,2,60,0.03333333333333333
Haikyuu!!,Gen,2,60,0.03333333333333333
Haikyuu!!,M/M,35,60,0.5833333333333334
Haikyuu!!,Multi,1,60,0.016666666666666666
Hunter X Hunter,F/M,3,39,0.07692307692307693
Hunter X Hunter,Gen,4,39,0.10256410256410256
Hunter X Hunter,M/M,17,39,0.4358974358974359
Naruto,F/F,4,50,0.08
Naruto,F/M,11,50,0.22
Naruto,Gen,10,50,0.2
Naruto,M/M,10,50,0.2
Naruto,Multi,9,50,0.18
Naruto,No category,3,50,0.06
Naruto,Other,1,50,0.02
One Piece,F/F,6,51,0.11764705882352941
One Piece,F/M,6,51,0.11764705882352941
One Piece,Gen,17,51,0.3333333333333333
One Piece,M/M,20,51,0.39215686274509803
One Piece,Multi,4,51,0.0784313725490196
One Piece,No category,2,51,0.0392156862745098
SPY x FAMILY (Manga) | SPY x FAMILY (Anime),F/M,24,48,0.5
SPY x FAMILY (Manga) | SPY x FAMILY (Anime),Gen,8,48,0.16666666666666666
Shingeki no Kyojin | Attack on Titan,F/F,1,48,0.020833333333333332
Shingeki no Kyojin | Attack on Titan,F/M,9,48,0.1875
Shingeki no Kyojin | Attack on Titan,Gen,4,48,0.08333333333333333
Shingeki no Kyojin | Attack on Titan,M/M,16,48,0.3333333333333333
Shingeki no Kyojin | Attack on Titan,Multi,1,48,0.020833333333333332
Shingeki no Kyojin | Attack on Titan,Other,1,48,0.020833333333333332
僕のヒーローアカデミア | Boku no Hero Academia | My Hero Academia,F/F,3,56,0.05357142857142857
僕のヒーローアカデミア | Boku no Hero Academia | My Hero Academia,F/M,8,56,0.14285714285714285
僕のヒーローアカデミア | Boku no Hero Academia | My Hero Academia,Gen,15,56,0.26785714285714285
僕のヒーローアカデミア | Boku no Hero Academia | My Hero Academia,M/M,17,56,0.30357142857142855
僕のヒーローアカデミア | Boku no Hero Academia | My Hero Academia,Multi,6,56,0.10714285714285714
僕のヒーローアカデミア | Boku no Hero Academia | My Hero Academia,No category,3,56,0.05357142857142857
原神 | Genshin Impact (Video Game),F/F,4,59,0.06779661016949153
原神 | Genshin Impact (Video Game),F/M,9,59,0.15254237288135594
原神 | Genshin Impact (Video Game),Gen,4,59,0.06779661016949153
原神 | Genshin Impact (Video Game),M/M,24,59,0.4067796610169492
原神 | Genshin Impact (Video Game),Multi,2,59,0.03389830508474576
原神 | Genshin Impact (Video Game),Other,2,59,0.03389830508474576
呪術廻戦 | Jujutsu Kaisen (Manga) | 呪術廻戦 | Jujutsu Kaisen (Anime),F/F,3,36,0.08333333333333333
呪術廻戦 | Jujutsu Kaisen (Manga) | 呪術廻戦 | Jujutsu Kaisen (Anime),F/M,3,36,0.08333333333333333
呪術廻戦 | Jujutsu Kaisen (Manga) | 呪術廻戦 | Jujutsu Kaisen (Anime),Gen,3,36,0.08333333333333333
呪術廻戦 | Jujutsu Kaisen (Manga) | 呪術廻戦 | Jujutsu Kaisen (Anime),M/M,19,36,0.5277777777777778
呪術廻戦 | Jujutsu Kaisen (Manga) | 呪術廻戦 | Jujutsu Kaisen (Anime),Multi,1,36,0.027777777777777776
呪術廻戦 | Jujutsu Kaisen (Manga) | 呪術廻戦 | Jujutsu Kaisen (Anime),No category,1,36,0.027777777777777776
呪術廻戦 | Jujutsu Kaisen (Manga) | 呪術廻戦 | Jujutsu Kaisen (Anime),Other,1,36,0.027777777777777776
鬼滅の刃 | Demon Slayer: Kimetsu no Yaiba (Anime) | 鬼滅の刃 | Kimetsu no Yaiba (Manga),F/M,1,14,0.07142857142857142
鬼滅の刃 | Demon Slayer: Kimetsu no Yaiba (Anime) | 鬼滅の刃 | Kimetsu no Yaiba (Manga),Gen,3,14,0.21428571428571427
鬼滅の刃 | Demon Slayer: Kimetsu no Yaiba (Anime) | 鬼滅の刃 | Kimetsu no Yaiba (Manga),M/M,3,14,0.21428571428571427
鬼滅の刃 | Demon Slayer: Kimetsu no Yaiba (Anime) | 鬼滅の刃 | Kimetsu no Yaiba (Manga),Multi,1,14,0.07142857142857142
