fandoms,F/F,F/M,Gen,M/M,Multi,No category,Other
Haikyuu!!,0.014925373134328358,0.029850746268656716,0.05970149253731343,0.8805970149253731,0.014925373134328358,0.0,0.0
原神 | Genshin Impact (Video Game),0.1038961038961039,0.18181818181818182,0.06493506493506493,0.5844155844155844,0.03896103896103896,0.0,0.025974025974025976
僕のヒーローアカデミア | Boku no Hero Academia | My Hero Academia,0.03260869565217391,0.16304347826086957,0.34782608695652173,0.31521739130434784,0.09782608695652174,0.043478260869565216,0.0
One Piece,0.08695652173913043,0.08695652173913043,0.3188405797101449,0.4057971014492754,0.07246376811594203,0.028985507246376812,0.0
Naruto,0.09473684210526316,0.25263157894736843,0.15789473684210525,0.22105263157894736,0.21052631578947367,0.042105263157894736,0.021052631578947368
SPY x FAMILY (Manga) | SPY x FAMILY (Anime),0.0,0.746031746031746,0.25396825396825395,0.0,0.0,0.0,0.0
Shingeki no Kyojin | Attack on Titan,0.046875,0.25,0.140625,0.515625,0.03125,0.0,0.015625
Hunter X Hunter,0.0,0.0975609756097561,0.14634146341463414,0.7560975609756098,0.0,0.0,0.0
呪術廻戦 | Jujutsu Kaisen (Manga) | 呪術廻戦 | Jujutsu Kaisen (Anime),0.06382978723404255,0.06382978723404255,0.10638297872340426,0.6595744680851063,0.02127659574468085,0.0425531914893617,0.0425531914893617
Chainsaw Man (Manga) | Chainsaw Man (Anime),0.030303030303030304,0.21212121212121213,0.0,0.696969696969697,0.030303030303030304,0.0,0.030303030303030304
Bleach,0.14285714285714285,0.10714285714285714,0.14285714285714285,0.4642857142857143,0.14285714285714285,0.0,0.0
鬼滅の刃 | Demon Slayer: Kimetsu no Yaiba (Anime) | 鬼滅の刃 | Kimetsu no Yaiba (Manga),0.0,0.1875,0.4375,0.3125,0.0625,0.0,0.0
